date,value,name
20161227,2268.88,SPX
20161228,2249.92,SPX
20161229,2249.26,SPX
20161230,2238.83,SPX
20170103,2257.83,SPX
20170104,2270.75,SPX
20170105,2269.0,SPX
20170106,2276.98,SPX
20170109,2268.9,SPX
20170110,2268.9,SPX
20170111,2275.32,SPX
20170112,2270.44,SPX
20170113,2274.64,SPX
20170117,2267.89,SPX
20170118,2271.89,SPX
20170119,2263.69,SPX
20170120,2271.31,SPX
20170123,2265.2,SPX
20170124,2280.07,SPX
20170125,2298.37,SPX
20170126,2296.68,SPX
20170127,2294.69,SPX
20170130,2280.9,SPX
20170131,2278.87,SPX
20170201,2279.55,SPX
20170202,2280.85,SPX
20170203,2297.42,SPX
20170206,2292.56,SPX
20170207,2293.08,SPX
20170208,2294.67,SPX
20170209,2307.87,SPX
20170210,2316.1,SPX
20170213,2328.25,SPX
20170214,2337.58,SPX
20170215,2349.25,SPX
20170216,2347.22,SPX
20170217,2351.16,SPX
20170221,2365.38,SPX
20170222,2362.82,SPX
20170223,2363.81,SPX
20170224,2367.34,SPX
20170227,2369.75,SPX
20170228,2363.64,SPX
20170301,2395.96,SPX
20170302,2381.92,SPX
20170303,2383.12,SPX
20170306,2375.31,SPX
20170307,2368.39,SPX
20170308,2362.98,SPX
20170309,2364.87,SPX
20170310,2372.6,SPX
20170313,2373.47,SPX
20170314,2365.45,SPX
20170315,2385.26,SPX
20170316,2381.38,SPX
20170317,2378.25,SPX
20170320,2373.47,SPX
20170321,2344.02,SPX
20170322,2348.45,SPX
20170323,2345.96,SPX
20170324,2343.98,SPX
20170327,2341.59,SPX
20170328,2358.57,SPX
20170329,2361.13,SPX
20170330,2368.06,SPX
20170331,2362.72,SPX
20170403,2358.84,SPX
20170404,2360.16,SPX
20170405,2352.95,SPX
20170406,2357.49,SPX
20170407,2355.54,SPX
20170410,2357.16,SPX
20170411,2353.78,SPX
20170412,2344.93,SPX
20170413,2328.95,SPX
20170417,2349.01,SPX
20170418,2342.19,SPX
20170419,2338.17,SPX
20170420,2355.84,SPX
20170421,2348.69,SPX
20170424,2374.15,SPX
20170425,2388.61,SPX
20170426,2387.45,SPX
20170427,2388.77,SPX
20170428,2384.2,SPX
20170501,2388.33,SPX
20170502,2391.17,SPX
20170503,2388.13,SPX
20170504,2389.52,SPX
20170505,2399.29,SPX
20170508,2399.38,SPX
20170509,2396.92,SPX
20170510,2399.63,SPX
20170511,2394.44,SPX
20170512,2390.9,SPX
20170515,2402.32,SPX
20170516,2400.67,SPX
20170517,2357.03,SPX
20170518,2365.72,SPX
20170519,2381.73,SPX
20170522,2394.02,SPX
20170523,2398.42,SPX
20170524,2404.39,SPX
20170525,2415.07,SPX
20170526,2415.82,SPX
20170530,2412.91,SPX
20170531,2411.8,SPX
20170601,2430.06,SPX
20170602,2439.07,SPX
20170605,2436.1,SPX
20170606,2429.33,SPX
20170607,2433.14,SPX
20170608,2433.79,SPX
20170609,2431.77,SPX
20170612,2429.39,SPX
20170613,2440.35,SPX
20170614,2437.92,SPX
20170615,2432.46,SPX
20170616,2433.15,SPX
20170619,2453.46,SPX
20170620,2437.03,SPX
20170621,2435.61,SPX
20170622,2434.5,SPX
20170623,2438.3,SPX
20170626,2439.07,SPX
20170627,2419.38,SPX
20170628,2440.69,SPX
20170629,2419.7,SPX
20170630,2423.41,SPX
20170703,2429.01,SPX
20170705,2432.54,SPX
20170706,2409.75,SPX
20170707,2425.18,SPX
20170710,2427.43,SPX
20170711,2425.53,SPX
20170712,2443.25,SPX
20170713,2447.83,SPX
20170714,2459.27,SPX
20170717,2459.14,SPX
20170718,2460.61,SPX
20170719,2473.83,SPX
20170720,2473.45,SPX
20170721,2472.54,SPX
20170724,2469.91,SPX
20170725,2477.13,SPX
20170726,2477.83,SPX
20170727,2475.42,SPX
20170728,2472.1,SPX
20170731,2470.3,SPX
20170801,2476.35,SPX
20170802,2477.57,SPX
20170803,2472.16,SPX
20170804,2476.83,SPX
20170807,2480.91,SPX
20170808,2474.92,SPX
20170809,2474.02,SPX
20170810,2438.21,SPX
20170811,2441.32,SPX
20170814,2465.84,SPX
20170815,2464.61,SPX
20170816,2468.11,SPX
20170817,2430.01,SPX
20170818,2425.55,SPX
20170821,2428.37,SPX
20170822,2452.51,SPX
20170823,2444.04,SPX
20170824,2438.97,SPX
20170825,2443.05,SPX
20170828,2444.24,SPX
20170829,2446.3,SPX
20170830,2457.59,SPX
20170831,2471.65,SPX
20170901,2476.55,SPX
20170905,2457.85,SPX
20170906,2465.54,SPX
20170907,2465.1,SPX
20170908,2461.43,SPX
20170911,2488.11,SPX
20170912,2496.48,SPX
20170913,2498.37,SPX
20170914,2495.62,SPX
20170915,2500.23,SPX
20170918,2503.87,SPX
20170919,2506.65,SPX
20170920,2508.24,SPX
20170921,2500.6,SPX
20170922,2502.22,SPX
20170925,2496.66,SPX
20170926,2496.84,SPX
20170927,2507.04,SPX
