date,value,name
20161227,0.356037,SX7E
20161228,0.362199,SX7E
20161229,0.365172,SX7E
20161230,0.362279,SX7E
20170102,0.359599,SX7E
20170103,0.347533,SX7E
20170104,0.34143,SX7E
20170105,0.333109,SX7E
20170106,0.325671,SX7E
20170109,0.328477,SX7E
20170110,0.326718,SX7E
20170111,0.329405,SX7E
20170112,0.331115,SX7E
20170113,0.323638,SX7E
20170116,0.329318,SX7E
20170117,0.330448,SX7E
20170118,0.331582,SX7E
20170119,0.319901,SX7E
20170120,0.31304,SX7E
20170123,0.314979,SX7E
20170124,0.310164,SX7E
20170125,0.29828,SX7E
20170126,0.301913,SX7E
20170127,0.309561,SX7E
20170130,0.32097,SX7E
20170131,0.326563,SX7E
20170201,0.317633,SX7E
20170202,0.314032,SX7E
20170203,0.309883,SX7E
20170206,0.317654,SX7E
20170207,0.326909,SX7E
20170208,0.341687,SX7E
20170209,0.343903,SX7E
20170210,0.34977,SX7E
20170213,0.349812,SX7E
20170214,0.346793,SX7E
20170215,0.345152,SX7E
20170216,0.348947,SX7E
20170217,0.374667,SX7E
20170220,0.362928,SX7E
20170221,0.366131,SX7E
20170222,0.374211,SX7E
20170223,0.391562,SX7E
20170224,0.406657,SX7E
20170227,0.39878,SX7E
20170228,0.389667,SX7E
20170301,0.369238,SX7E
20170302,0.371559,SX7E
20170306,0.375192,SX7E
20170307,0.367461,SX7E
20170308,0.360231,SX7E
20170309,0.360272,SX7E
20170313,0.366689,SX7E
20170314,0.378285,SX7E
20170315,0.373496,SX7E
20170316,0.372769,SX7E
20170317,0.372502,SX7E
20170320,0.358576,SX7E
20170321,0.357102,SX7E
20170322,0.364886,SX7E
20170323,0.360296,SX7E
20170324,0.355837,SX7E
20170327,0.352714,SX7E
20170328,0.34556,SX7E
20170329,0.345485,SX7E
20170330,0.340155,SX7E
20170331,0.332219,SX7E
20170403,0.342988,SX7E
20170404,0.345274,SX7E
20170405,0.350923,SX7E
20170406,0.348875,SX7E
20170407,0.351373,SX7E
20170410,0.372454,SX7E
20170411,0.38299,SX7E
20170412,0.383222,SX7E
20170413,0.389896,SX7E
20170417,0.38881,SX7E
20170418,0.395455,SX7E
20170419,0.360278,SX7E
20170420,0.350392,SX7E
20170421,0.352539,SX7E
20170424,0.289707,SX7E
20170425,0.286028,SX7E
20170426,0.279142,SX7E
20170427,0.285608,SX7E
20170428,0.292175,SX7E
20170502,0.288009,SX7E
20170503,0.278645,SX7E
20170504,0.273459,SX7E
20170505,0.272842,SX7E
20170508,0.255796,SX7E
20170509,0.259405,SX7E
20170510,0.262259,SX7E
20170511,0.269779,SX7E
20170512,0.269785,SX7E
20170515,0.263581,SX7E
20170516,0.262263,SX7E
20170517,0.279424,SX7E
20170518,0.29967,SX7E
20170519,0.272884,SX7E
20170522,0.268442,SX7E
20170523,0.253716,SX7E
20170524,0.246003,SX7E
20170525,0.248143,SX7E
20170526,0.252732,SX7E
20170529,0.253486,SX7E
20170530,0.25732,SX7E
20170531,0.261651,SX7E
20170601,0.258975,SX7E
20170602,0.258567,SX7E
20170605,0.257979,SX7E
20170606,0.264964,SX7E
20170607,0.260788,SX7E
20170608,0.256422,SX7E
20170609,0.250741,SX7E
20170612,0.256467,SX7E
20170613,0.254996,SX7E
20170614,0.258303,SX7E
20170615,0.266503,SX7E
20170616,0.258867,SX7E
20170619,0.243856,SX7E
20170620,0.247739,SX7E
20170621,0.249046,SX7E
20170622,0.25163,SX7E
20170623,0.252236,SX7E
20170626,0.245747,SX7E
20170627,0.241647,SX7E
20170628,0.241703,SX7E
20170629,0.255546,SX7E
20170630,0.260581,SX7E
20170703,0.244716,SX7E
20170704,0.247271,SX7E
20170705,0.249431,SX7E
20170707,0.250908,SX7E
20170710,0.246137,SX7E
20170711,0.248241,SX7E
20170712,0.24751,SX7E
20170713,0.244891,SX7E
20170714,0.240149,SX7E
20170717,0.238784,SX7E
20170718,0.244066,SX7E
20170719,0.245206,SX7E
20170720,0.245721,SX7E
