date,value,item,name
20161228,2249.92,level,SPX
20161229,2249.26,level,SPX
20161230,2238.83,level,SPX
20170103,2257.83,level,SPX
20170104,2270.75,level,SPX
20170105,2269.0,level,SPX
20170106,2276.98,level,SPX
20170109,2268.9,level,SPX
20170110,2268.9,level,SPX
20170111,2275.32,level,SPX
20170112,2270.44,level,SPX
20170113,2274.64,level,SPX
20170117,2267.89,level,SPX
20170118,2271.89,level,SPX
20170119,2263.69,level,SPX
20170120,2271.31,level,SPX
20170123,2265.2,level,SPX
20170124,2280.07,level,SPX
20170125,2298.37,level,SPX
20170126,2296.68,level,SPX
20170127,2294.69,level,SPX
20170130,2280.9,level,SPX
20170131,2278.87,level,SPX
20170201,2279.55,level,SPX
20170202,2280.85,level,SPX
20170203,2297.42,level,SPX
20170206,2292.56,level,SPX
20170207,2293.08,level,SPX
20170208,2294.67,level,SPX
20170209,2307.87,level,SPX
20170210,2316.1,level,SPX
20170213,2328.25,level,SPX
20170214,2337.58,level,SPX
20170215,2349.25,level,SPX
20170216,2347.22,level,SPX
20170217,2351.16,level,SPX
20170221,2365.38,level,SPX
20170222,2362.82,level,SPX
20170223,2363.81,level,SPX
20170224,2367.34,level,SPX
20170227,2369.75,level,SPX
20170228,2363.64,level,SPX
20170301,2395.96,level,SPX
20170302,2381.92,level,SPX
20170303,2383.12,level,SPX
20170306,2375.31,level,SPX
20170307,2368.39,level,SPX
20170308,2362.98,level,SPX
20170309,2364.87,level,SPX
20170310,2372.6,level,SPX
20170313,2373.47,level,SPX
20170314,2365.45,level,SPX
20170315,2385.26,level,SPX
20170316,2381.38,level,SPX
20170317,2378.25,level,SPX
20170320,2373.47,level,SPX
20170321,2344.02,level,SPX
20170322,2348.45,level,SPX
20170323,2345.96,level,SPX
20170324,2343.98,level,SPX
20170327,2341.59,level,SPX
20170328,2358.57,level,SPX
20170329,2361.13,level,SPX
20170330,2368.06,level,SPX
20170331,2362.72,level,SPX
20170403,2358.84,level,SPX
20170404,2360.16,level,SPX
20170405,2352.95,level,SPX
20170406,2357.49,level,SPX
20170407,2355.54,level,SPX
20170410,2357.16,level,SPX
20170411,2353.78,level,SPX
20170412,2344.93,level,SPX
20170413,2328.95,level,SPX
20170417,2349.01,level,SPX
20170418,2342.19,level,SPX
20170419,2338.17,level,SPX
20170420,2355.84,level,SPX
20170421,2348.69,level,SPX
20170424,2374.15,level,SPX
20170425,2388.61,level,SPX
20170426,2387.45,level,SPX
20170427,2388.77,level,SPX
20170428,2384.2,level,SPX
20170501,2388.33,level,SPX
20170502,2391.17,level,SPX
