date,value,item,name,tenor
20161228,0.13548,varswap,SPX,1m
20161229,0.139508,varswap,SPX,1m
20161230,0.144747,varswap,SPX,1m
20170103,0.125557,varswap,SPX,1m
20170104,0.115483,varswap,SPX,1m
20170105,0.117267,varswap,SPX,1m
20170106,0.113562,varswap,SPX,1m
20170109,0.110261,varswap,SPX,1m
20170110,0.112214,varswap,SPX,1m
20170111,0.109643,varswap,SPX,1m
20170112,0.113203,varswap,SPX,1m
20170113,0.111874,varswap,SPX,1m
20170117,0.114363,varswap,SPX,1m
20170118,0.116875,varswap,SPX,1m
20170119,0.125681,varswap,SPX,1m
20170120,0.112672,varswap,SPX,1m
20170123,0.113396,varswap,SPX,1m
20170124,0.106696,varswap,SPX,1m
20170125,0.1058,varswap,SPX,1m
20170126,0.107749,varswap,SPX,1m
20170127,0.10329,varswap,SPX,1m
20170130,0.113038,varswap,SPX,1m
20170131,0.116404,varswap,SPX,1m
20170201,0.113389,varswap,SPX,1m
20170202,0.119425,varswap,SPX,1m
20170203,0.10705,varswap,SPX,1m
20170206,0.10707,varswap,SPX,1m
20170207,0.109186,varswap,SPX,1m
20170208,0.110763,varswap,SPX,1m
20170209,0.111518,varswap,SPX,1m
20170210,0.106527,varswap,SPX,1m
20170213,0.104181,varswap,SPX,1m
20170214,0.103678,varswap,SPX,1m
20170215,0.117975,varswap,SPX,1m
20170216,0.116835,varswap,SPX,1m
20170217,0.116311,varswap,SPX,1m
20170221,0.109941,varswap,SPX,1m
20170222,0.111868,varswap,SPX,1m
20170223,0.113073,varswap,SPX,1m
20170224,0.111119,varswap,SPX,1m
20170227,0.115108,varswap,SPX,1m
20170228,0.121979,varswap,SPX,1m
20170301,0.11799,varswap,SPX,1m
20170302,0.113537,varswap,SPX,1m
20170303,0.10308,varswap,SPX,1m
20170306,0.102157,varswap,SPX,1m
20170307,0.105193,varswap,SPX,1m
20170308,0.10864,varswap,SPX,1m
20170309,0.117232,varswap,SPX,1m
20170310,0.110634,varswap,SPX,1m
20170313,0.106146,varswap,SPX,1m
20170314,0.111724,varswap,SPX,1m
20170315,0.10939,varswap,SPX,1m
20170316,0.106518,varswap,SPX,1m
20170317,0.110495,varswap,SPX,1m
20170320,0.107273,varswap,SPX,1m
20170321,0.125255,varswap,SPX,1m
20170322,0.12718,varswap,SPX,1m
20170323,0.134725,varswap,SPX,1m
20170324,0.136088,varswap,SPX,1m
20170327,0.124727,varswap,SPX,1m
20170328,0.114229,varswap,SPX,1m
20170329,0.10927,varswap,SPX,1m
20170330,0.113389,varswap,SPX,1m
20170331,0.120539,varswap,SPX,1m
20170403,0.119005,varswap,SPX,1m
20170404,0.114367,varswap,SPX,1m
20170405,0.127185,varswap,SPX,1m
20170406,0.126664,varswap,SPX,1m
20170407,0.135312,varswap,SPX,1m
20170410,0.140864,varswap,SPX,1m
20170411,0.151007,varswap,SPX,1m
20170412,0.1552,varswap,SPX,1m
20170413,0.159078,varswap,SPX,1m
20170417,0.137554,varswap,SPX,1m
20170418,0.138105,varswap,SPX,1m
20170419,0.145186,varswap,SPX,1m
20170420,0.135527,varswap,SPX,1m
20170421,0.146715,varswap,SPX,1m
20170424,0.102719,varswap,SPX,1m
20170425,0.10002,varswap,SPX,1m
20170426,0.101496,varswap,SPX,1m
20170427,0.099276,varswap,SPX,1m
20170428,0.102465,varswap,SPX,1m
20170501,0.096813,varswap,SPX,1m
20170502,0.099013,varswap,SPX,1m
20170503,0.101196,varswap,SPX,1m
20170504,0.100141,varswap,SPX,1m
20170505,0.102962,varswap,SPX,1m
20170508,0.090417,varswap,SPX,1m
20170509,0.092717,varswap,SPX,1m
20170510,0.096071,varswap,SPX,1m
20170511,0.103123,varswap,SPX,1m
20170512,0.104074,varswap,SPX,1m
20170515,0.100574,varswap,SPX,1m
20170516,0.105092,varswap,SPX,1m
20170517,0.15407,varswap,SPX,1m
20170518,0.145847,varswap,SPX,1m
20170519,0.124182,varswap,SPX,1m
20170522,0.108323,varswap,SPX,1m
20170523,0.106274,varswap,SPX,1m
20170524,0.100678,varswap,SPX,1m
20170525,0.099357,varswap,SPX,1m
20170526,0.095861,varswap,SPX,1m
20170530,0.096021,varswap,SPX,1m
20170531,0.1009,varswap,SPX,1m
20170601,0.097491,varswap,SPX,1m
20170602,0.097215,varswap,SPX,1m
20170605,0.09692,varswap,SPX,1m
20170606,0.101988,varswap,SPX,1m
20170607,0.101406,varswap,SPX,1m
20170608,0.099389,varswap,SPX,1m
20170609,0.107617,varswap,SPX,1m
20170612,0.109432,varswap,SPX,1m
20170613,0.1011,varswap,SPX,1m
20170614,0.103148,varswap,SPX,1m
20170615,0.107557,varswap,SPX,1m
20170616,0.102159,varswap,SPX,1m
20170619,0.099401,varswap,SPX,1m
20170620,0.10972,varswap,SPX,1m
20170621,0.107325,varswap,SPX,1m
20170622,0.104901,varswap,SPX,1m
20170623,0.097947,varswap,SPX,1m
20170626,0.095164,varswap,SPX,1m
20170627,0.111427,varswap,SPX,1m
20170628,0.099757,varswap,SPX,1m
20170629,0.118947,varswap,SPX,1m
20170630,0.11072,varswap,SPX,1m
20170703,0.106252,varswap,SPX,1m
20170705,0.101405,varswap,SPX,1m
20170706,0.11978,varswap,SPX,1m
20170707,0.106717,varswap,SPX,1m
20170710,0.101288,varswap,SPX,1m
20170711,0.101855,varswap,SPX,1m
20170712,0.096181,varswap,SPX,1m
20170713,0.09273,varswap,SPX,1m
20170714,0.092453,varswap,SPX,1m
20170717,0.090816,varswap,SPX,1m
20170718,0.092341,varswap,SPX,1m
20170719,0.093758,varswap,SPX,1m
20170720,0.09511,varswap,SPX,1m
20170721,0.090907,varswap,SPX,1m
20170724,0.087388,varswap,SPX,1m
20170725,0.089102,varswap,SPX,1m
20170726,0.089174,varswap,SPX,1m
20170727,0.094982,varswap,SPX,1m
20170728,0.098994,varswap,SPX,1m
20170731,0.097388,varswap,SPX,1m
20170801,0.092284,varswap,SPX,1m
20170802,0.093911,varswap,SPX,1m
20170803,0.099743,varswap,SPX,1m
20170804,0.097078,varswap,SPX,1m
20170807,0.094368,varswap,SPX,1m
20170808,0.106518,varswap,SPX,1m
20170809,0.110943,varswap,SPX,1m
20170810,0.155729,varswap,SPX,1m
20170811,0.15309,varswap,SPX,1m
20170814,0.115512,varswap,SPX,1m
20170815,0.114722,varswap,SPX,1m
20170816,0.115676,varswap,SPX,1m
20170817,0.155111,varswap,SPX,1m
20170818,0.145268,varswap,SPX,1m
20170821,0.132816,varswap,SPX,1m
20170822,0.112092,varswap,SPX,1m
20170823,0.121121,varswap,SPX,1m
20170824,0.1225,varswap,SPX,1m
20170825,0.113668,varswap,SPX,1m
20170828,0.108731,varswap,SPX,1m
20170829,0.112523,varswap,SPX,1m
20170830,0.110626,varswap,SPX,1m
20170831,0.107263,varswap,SPX,1m
20170901,0.099672,varswap,SPX,1m
